2022-12-29,Debit,30.0,Chase,AMERICAN AIR0010280316665,American Air,Travel
2022-12-29,Debit,3.7,Chase,DCA SAYSIBON PIER C,,Bars & Restaurants
2022-12-29,Debit,16.94,Chase,MEZEH - DCA,,Bars & Restaurants
2022-12-30,Debit,23.4,Chase,BIG NIGHT LIVE,Big Night Live,Bars & Restaurants
2022-12-30,Debit,20.0,Chase,FAMILY PRACTICE GROUP PC,Family Practice,Medical
2022-12-31,Debit,115.0,Chase,BROOKLYN BOULDERS SOMER,Brooklyn Boulders Somer,Amusement & Recreation
2022-12-31,Debit,22.31,Chase,CHIPOTLE 1036,Chipotle,Bars & Restaurants
2022-12-31,Debit,42.98,Chase,DOWNTOWN WINE AND SPIRITS,Downtown Wine And Spirits,Grocery & Corner Store
2022-12-31,Debit,0.59,Chase,STARBUCKS STORE 07502,Starbucks,Coffee Shops
2022-12-31,Debit,100.7,Chase,TST* FOUNDRY SALOON ROCKW,Foundry Saloon,Bars & Restaurants
2023-01-01,Debit,48.03,Chase,CIRCLE K 07045,Circle K,Transportation
2023-01-01,Debit,78.97,Chase,DOWNTOWN WINE AND SPIRITS,Downtown Wine And Spirits,Grocery & Corner Store
2023-01-04,Debit,22.54,Chase,BFRESH 2420,Bfresh,Grocery & Corner Store
2023-01-05,Debit,492.55,Chase,SAS AIRLINE 1172487624602,Airline,Travel
2023-01-05,Debit,29.0,Chase,SAS AIRLINE 1174559286019,Airline,Travel
2023-01-05,Debit,29.0,Chase,SAS AIRLINE 1174559286020,Airline,Travel
2023-01-05,Debit,10.0,Chase,SAS AIRLINE 1174559286021,Airline,Travel
2023-01-05,Debit,10.0,Chase,SAS AIRLINE 1174559286022,Airline,Travel
2023-01-05,Debit,42.49,Chase,SP TRTLTRAVEL,,Shopping
2023-01-06,Debit,3.62,Chase,7-ELEVEN 37345,7-Eleven,Grocery & Corner Store
2023-01-06,Debit,16.99,Chase,APPLE.COM/BILL,Apple.Com/Bill,Subscriptions & Memberships
2023-01-06,Debit,9.42,Chase,CHIPOTLE 1036,Chipotle,Bars & Restaurants
2023-01-06,Debit,65.31,Chase,TST* Dali Restaurant,Dali,Bars & Restaurants
2023-01-06,Debit,7.04,Chase,TST* JP LICKS - DAVIS,Jp Licks,Bars & Restaurants
2023-01-07,Debit,63.24,Chase,HOW BOSTON,Howl at the Moon,Bars & Restaurants
2023-01-07,Debit,30.02,Chase,POCKETS BILLIARDS CLUB,Pockets Billiards Club,Amusement & Recreation
2023-01-07,Debit,13.49,Chase,SQ *NINE BAR ESPRESSO,Nine Bar Espresso,Coffee Shops
2023-01-07,Debit,9.99,Chase,Spotify USA,Spotify,Subscriptions & Memberships
2023-01-07,Debit,20.2,Chase,TST* Shays Pub &amp; Wine Ba,,Bars & Restaurants
2023-01-08,Debit,63.12,Chase,HOW BOSTON,Howl at the Moon,Bars & Restaurants
2023-01-09,Debit,12.89,Chase,CHIPOTLE 1036,Chipotle,Bars & Restaurants
